epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.955,3.78811,13.5014,0.07773,2e-05,0.00627,0,0,5.01799,22.1419,0.13258,0.000471522,0.000471522,0.000471522
2,65.006,2.93563,5.86439,0.06017,0.0025,0.62527,0.00511,0.00127,2.44275,3.98747,0.06715,0.000929088,0.000929088,0.000929088
3,92.411,2.49937,3.88973,0.04891,0.35936,0.13455,0.0196,0.00491,2.11446,4.57495,0.05593,0.00136779,0.00136779,0.00136779
4,131.998,2.33168,3.37903,0.04498,0.45872,0.10783,0.07128,0.02266,2.29169,3.88537,0.06062,0.00134412,0.00134412,0.00134412
5,159.281,2.20538,3.15187,0.04261,0.21678,0.19863,0.13407,0.04955,2.08121,3.26235,0.05479,0.00131582,0.00131582,0.00131582
6,186.275,2.07369,2.96064,0.03908,0.2117,0.26715,0.16517,0.06726,2.07568,3.44655,0.05434,0.00128753,0.00128753,0.00128753
7,213.318,1.98897,2.80551,0.03692,0.25124,0.24945,0.19249,0.08188,2.15218,2.82814,0.05793,0.00125923,0.00125923,0.00125923
8,240.291,1.93999,2.70003,0.03557,0.30977,0.24878,0.20295,0.08826,2.1202,2.64721,0.0561,0.00123094,0.00123094,0.00123094
9,267.347,1.91465,2.5937,0.03483,0.33794,0.35458,0.28278,0.13086,2.01696,2.48592,0.05246,0.00120265,0.00120265,0.00120265
10,294.318,1.85309,2.48703,0.03304,0.35082,0.31134,0.25482,0.10305,2.10491,2.40458,0.056,0.00117435,0.00117435,0.00117435
11,321.339,1.84566,2.46167,0.03325,0.41485,0.33353,0.30861,0.14599,1.90563,2.34344,0.04859,0.00114606,0.00114606,0.00114606
12,348.324,1.79134,2.29266,0.03241,0.50584,0.40153,0.39856,0.19102,1.8249,2.11089,0.04627,0.00111776,0.00111776,0.00111776
13,375.36,1.78424,2.27428,0.03174,0.53486,0.40655,0.4267,0.20871,1.7876,1.99657,0.04486,0.00108947,0.00108947,0.00108947
14,402.38,1.75511,2.22165,0.03135,0.52157,0.45213,0.46328,0.23283,1.72462,2.1541,0.04318,0.00106118,0.00106118,0.00106118
15,429.39,1.70986,2.14442,0.03029,0.54599,0.47019,0.48148,0.23084,1.79571,1.87079,0.04566,0.00103288,0.00103288,0.00103288
16,456.295,1.68593,2.07263,0.03017,0.48431,0.41363,0.41947,0.22124,1.77751,1.98722,0.04558,0.00100459,0.00100459,0.00100459
17,483.273,1.67271,2.05096,0.02952,0.51085,0.45893,0.48094,0.2578,1.68175,1.87791,0.0422,0.000976293,0.000976293,0.000976293
18,510.347,1.67404,2.0413,0.02984,0.56553,0.494,0.50989,0.26574,1.69565,1.71651,0.04311,0.000947999,0.000947999,0.000947999
19,537.403,1.62517,1.94511,0.02852,0.61292,0.44294,0.49095,0.26434,1.7049,1.77732,0.04255,0.000919704,0.000919704,0.000919704
20,564.325,1.62584,1.90939,0.02849,0.58873,0.48906,0.53002,0.28546,1.69415,1.71673,0.04264,0.00089141,0.00089141,0.00089141
21,591.298,1.60884,1.88086,0.02823,0.61549,0.50777,0.53711,0.27487,1.76239,1.77123,0.04534,0.000863116,0.000863116,0.000863116
22,618.218,1.55641,1.83588,0.02708,0.64084,0.51083,0.58122,0.32618,1.60358,1.60237,0.03945,0.000834822,0.000834822,0.000834822
23,645.202,1.57145,1.80786,0.02725,0.63424,0.53674,0.57497,0.30355,1.70352,1.57674,0.04213,0.000806528,0.000806528,0.000806528
24,672.156,1.56422,1.77596,0.02749,0.5915,0.54426,0.5704,0.31926,1.62694,1.55388,0.04007,0.000778233,0.000778233,0.000778233
25,699.134,1.57835,1.78944,0.02747,0.58698,0.56763,0.5837,0.34084,1.54325,1.60996,0.03774,0.000749939,0.000749939,0.000749939
