epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.842,3.5993,11.9166,0.07353,0.00011,0.06588,2e-05,0,4.17946,7.37218,0.12805,0.000471522,0.000471522,0.000471522
2,114.603,2.76039,4.63469,0.05621,0.37614,0.03138,0.01276,0.00385,nan,nan,nan,0.000929088,0.000929088,0.000929088
3,161.063,2.47483,3.64947,0.04829,0.71858,0.02902,0.01793,0.00557,2.87247,4.50505,0.09616,0.00136779,0.00136779,0.00136779
4,207.331,2.34837,3.34563,0.0456,0.4031,0.09486,0.03584,0.00745,2.44945,3.92376,0.06979,0.00134412,0.00134412,0.00134412
5,253.396,2.2201,3.12017,0.04272,0.48367,0.14266,0.0937,0.03621,2.1196,3.31033,0.05649,0.00131582,0.00131582,0.00131582
6,299.936,2.12533,2.9665,0.04024,0.43451,0.17185,0.14072,0.0525,2.08095,3.43078,0.05501,0.00128753,0.00128753,0.00128753
7,345.679,2.04127,2.80962,0.03814,0.16524,0.18428,0.11779,0.04525,2.22753,3.26323,0.05886,0.00125923,0.00125923,0.00125923
8,391.27,1.97929,2.69225,0.03643,0.44678,0.26109,0.23873,0.09636,1.94822,2.95887,0.05049,0.00123094,0.00123094,0.00123094
9,438.201,1.93205,2.60741,0.03527,0.30925,0.31663,0.25542,0.10124,1.99813,3.00068,0.05326,0.00120265,0.00120265,0.00120265
10,484.348,1.88585,2.51152,0.03371,0.39374,0.2619,0.24688,0.1152,1.87893,2.68994,0.04802,0.00117435,0.00117435,0.00117435
11,530.937,1.86011,2.49576,0.0336,0.39129,0.31965,0.26286,0.11954,1.89228,2.6203,0.04955,0.00114606,0.00114606,0.00114606
12,577.429,1.8079,2.36659,0.03322,0.38497,0.32243,0.29672,0.12795,1.97634,2.43803,0.05209,0.00111776,0.00111776,0.00111776
13,624.019,1.80854,2.30462,0.03233,0.31035,0.32163,0.28201,0.13458,1.93834,2.23547,0.0496,0.00108947,0.00108947,0.00108947
14,670.253,1.77856,2.2904,0.0321,0.4379,0.40903,0.37069,0.17748,1.76921,2.62575,0.04522,0.00106118,0.00106118,0.00106118
15,716.196,1.75403,2.19223,0.03132,0.42709,0.35442,0.32396,0.15282,1.86665,2.14777,0.04843,0.00103288,0.00103288,0.00103288
16,761.713,1.70446,2.13209,0.03065,0.41644,0.39181,0.35169,0.17053,1.80647,2.27582,0.04654,0.00100459,0.00100459,0.00100459
17,807.27,1.69094,2.07154,0.02991,0.40357,0.35725,0.33572,0.17673,1.74787,2.27711,0.04392,0.000976293,0.000976293,0.000976293
18,852.76,1.68311,2.09996,0.02998,0.41454,0.45235,0.40619,0.19898,1.77695,2.02614,0.04524,0.000947999,0.000947999,0.000947999
19,898.367,1.66731,2.00874,0.02954,0.46095,0.45112,0.41452,0.2144,1.69896,2.08336,0.04324,0.000919704,0.000919704,0.000919704
20,943.974,1.64198,1.98897,0.02899,0.41331,0.48898,0.41179,0.19439,1.75368,2.13229,0.04415,0.00089141,0.00089141,0.00089141
21,989.545,1.60835,1.95447,0.02845,0.5373,0.51702,0.53434,0.27923,1.70503,1.73125,0.04348,0.000863116,0.000863116,0.000863116
22,1035.2,1.59337,1.90718,0.02816,0.56321,0.48805,0.50324,0.26116,1.65763,1.80518,0.04137,0.000834822,0.000834822,0.000834822
23,1080.78,1.58371,1.87218,0.02768,0.55862,0.49584,0.49724,0.27365,1.60689,1.81837,0.03992,0.000806528,0.000806528,0.000806528
24,1126.49,1.593,1.85187,0.02813,0.55913,0.53327,0.54023,0.29874,1.61286,1.73344,0.04038,0.000778233,0.000778233,0.000778233
25,1172.1,1.5743,1.83987,0.02759,0.51236,0.47849,0.47714,0.26371,1.58259,1.84049,0.03983,0.000749939,0.000749939,0.000749939
26,1217.76,1.51429,1.7583,0.02674,0.56865,0.52774,0.54167,0.2988,1.57073,1.76088,0.03873,0.000721645,0.000721645,0.000721645
27,1264.37,1.54233,1.77842,0.02671,0.59782,0.48811,0.53443,0.29207,1.62982,1.65127,0.04051,0.000693351,0.000693351,0.000693351
28,1309.94,1.5046,1.76386,0.02598,0.6087,0.53056,0.55822,0.31633,1.52965,1.6664,0.03755,0.000665057,0.000665057,0.000665057
29,1355.59,1.49631,1.74044,0.026,0.58492,0.54274,0.54996,0.30681,1.56773,1.75509,0.03878,0.000636762,0.000636762,0.000636762
30,1401.11,1.48934,1.69538,0.02618,0.62599,0.5248,0.5608,0.31856,1.55529,1.59456,0.03866,0.000608468,0.000608468,0.000608468
31,1446.73,1.47426,1.69855,0.02561,0.57461,0.53663,0.55441,0.30912,1.61983,1.55536,0.04025,0.000580174,0.000580174,0.000580174
32,1492.22,1.48902,1.63873,0.02609,0.59286,0.58446,0.5664,0.32313,1.55784,1.61081,0.03829,0.00055188,0.00055188,0.00055188
33,1537.9,1.46601,1.64079,0.02526,0.5652,0.53386,0.55563,0.31695,1.60431,1.62451,0.03932,0.000523586,0.000523586,0.000523586
34,1583.44,1.43854,1.61839,0.02463,0.63058,0.5589,0.58998,0.33604,1.546,1.49197,0.0381,0.000495291,0.000495291,0.000495291
35,1636.49,1.47474,1.64057,0.02511,0.62158,0.61657,0.62675,0.34711,1.55942,1.42644,0.03843,0.000466997,0.000466997,0.000466997
36,1683.21,1.43617,1.57477,0.02449,0.70427,0.59337,0.65181,0.36073,1.53869,1.47587,0.03698,0.000438703,0.000438703,0.000438703
37,1729.37,1.44651,1.58273,0.0248,0.59845,0.60302,0.61779,0.36616,1.50755,1.40253,0.03715,0.000410409,0.000410409,0.000410409
38,1778.29,1.41357,1.5592,0.02469,0.6537,0.59865,0.64132,0.37226,1.50847,1.36339,0.03716,0.000382115,0.000382115,0.000382115
39,1827.59,1.39884,1.5258,0.02414,0.71107,0.594,0.66904,0.39608,1.5012,1.32432,0.03669,0.00035382,0.00035382,0.00035382
40,1874,1.39214,1.49007,0.0237,0.64776,0.62556,0.67276,0.39733,1.48367,1.31722,0.0364,0.000325526,0.000325526,0.000325526
41,1954.47,1.39858,1.2608,0.03337,0.66014,0.60221,0.64719,0.39053,1.4768,1.35216,0.03615,0.000297232,0.000297232,0.000297232
42,2001.33,1.35342,1.19929,0.03146,0.67239,0.62378,0.6771,0.412,1.46301,1.28815,0.03557,0.000268938,0.000268938,0.000268938
43,2047.32,1.31774,1.13187,0.03016,0.66031,0.65779,0.68133,0.40917,1.4314,1.31993,0.03438,0.000240644,0.000240644,0.000240644
44,2092.88,1.30336,1.1186,0.02974,0.75501,0.6152,0.69076,0.42283,1.44986,1.2397,0.03512,0.000212349,0.000212349,0.000212349
45,2138.42,1.27537,1.10378,0.0295,0.66652,0.66267,0.6905,0.41961,1.43584,1.23266,0.03452,0.000184055,0.000184055,0.000184055
46,2184.08,1.28629,1.06252,0.02992,0.70291,0.67943,0.70794,0.43065,1.42544,1.26401,0.03443,0.000155761,0.000155761,0.000155761
47,2229.59,1.26679,1.08795,0.02902,0.71018,0.66068,0.70303,0.43645,1.41404,1.19439,0.0338,0.000127467,0.000127467,0.000127467
48,2275.05,1.2616,1.04725,0.0298,0.68677,0.66524,0.70396,0.43301,1.41793,1.21464,0.03405,9.91726e-05,9.91726e-05,9.91726e-05
49,2321.53,1.25022,1.03685,0.02843,0.70252,0.66483,0.71387,0.43031,1.43304,1.20199,0.03449,7.08784e-05,7.08784e-05,7.08784e-05
50,2367.09,1.24523,1.03462,0.02894,0.69064,0.67485,0.70808,0.43923,1.4075,1.19094,0.03356,4.25842e-05,4.25842e-05,4.25842e-05
