epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.729,3.17439,4.5021,4.05468,0.00142,0.39434,0.00212,0.00053,3.0896,4.73996,4.28029,0.000471522,0.000471522,0.000471522
2,53.498,2.68587,3.95277,3.28195,0.38171,0.07668,0.02961,0.00763,2.61002,7.40419,3.43874,0.000929088,0.000929088,0.000929088
3,75.911,2.29458,3.48635,2.84058,0.08394,0.12748,0.03603,0.00951,2.33715,6.46806,3.18599,0.00136779,0.00136779,0.00136779
4,98.244,2.10436,3.17769,2.62636,0.20908,0.1875,0.12478,0.04612,2.07381,5.36009,2.69944,0.00134412,0.00134412,0.00134412
5,120.41,1.9541,2.92125,2.45423,0.48187,0.1503,0.14139,0.0476,2.09639,3.19704,2.74632,0.00131582,0.00131582,0.00131582
6,142.626,1.86379,2.70452,2.33784,0.23433,0.28606,0.17606,0.07401,2.05022,3.88157,2.69217,0.00128753,0.00128753,0.00128753
7,164.783,1.78894,2.55457,2.23395,0.41663,0.322,0.30612,0.15375,1.75072,2.77683,2.29355,0.00125923,0.00125923,0.00125923
8,187.278,1.71495,2.40402,2.16853,0.42454,0.35726,0.33334,0.15827,1.79613,2.39774,2.32989,0.00123094,0.00123094,0.00123094
9,209.758,1.68424,2.34762,2.12817,0.46054,0.37388,0.37224,0.18482,1.73204,2.93625,2.28278,0.00120265,0.00120265,0.00120265
10,231.866,1.63583,2.21279,2.08011,0.59862,0.40481,0.43786,0.22941,1.75367,2.03407,2.27336,0.00117435,0.00117435,0.00117435
11,254.142,1.60909,2.21574,2.06048,0.60517,0.44849,0.48094,0.24433,1.63509,2.06929,2.18024,0.00114606,0.00114606,0.00114606
12,276.378,1.58563,2.09301,2.01093,0.59176,0.43246,0.48798,0.25131,1.69745,2.00029,2.22741,0.00111776,0.00111776,0.00111776
13,298.485,1.56252,2.04611,1.97747,0.66656,0.4908,0.54934,0.31467,1.59139,1.8099,2.10386,0.00108947,0.00108947,0.00108947
14,320.535,1.54244,2.01865,1.97992,0.69025,0.47423,0.55167,0.31078,1.53966,1.82309,2.03752,0.00106118,0.00106118,0.00106118
15,342.694,1.49586,1.9498,1.91641,0.67749,0.52786,0.58765,0.33154,1.57835,1.80344,2.08237,0.00103288,0.00103288,0.00103288
16,364.708,1.46903,1.8706,1.90861,0.51666,0.52501,0.53135,0.31546,1.5862,1.81208,2.11491,0.00100459,0.00100459,0.00100459
17,386.734,1.45285,1.81317,1.88162,0.66769,0.529,0.60185,0.33445,1.59727,1.70796,2.09746,0.000976293,0.000976293,0.000976293
18,408.884,1.45885,1.83302,1.88207,0.63343,0.47817,0.53692,0.30801,1.55881,2.02678,2.03751,0.000947999,0.000947999,0.000947999
19,430.948,1.43081,1.77493,1.8545,0.64204,0.54179,0.59952,0.36381,1.49167,1.65278,1.98851,0.000919704,0.000919704,0.000919704
20,452.976,1.41088,1.73998,1.84314,0.75905,0.5008,0.59776,0.35172,1.51631,1.64203,1.98576,0.00089141,0.00089141,0.00089141
21,474.958,1.37686,1.69651,1.81109,0.61195,0.60486,0.61696,0.35686,1.45354,1.66031,1.95914,0.000863116,0.000863116,0.000863116
22,499.568,1.37417,1.67158,1.81063,0.73006,0.59396,0.68387,0.41011,1.45712,1.51291,1.96269,0.000834822,0.000834822,0.000834822
23,521.562,1.37243,1.63256,1.80049,0.7725,0.57147,0.66945,0.39216,1.5358,1.51055,2.00563,0.000806528,0.000806528,0.000806528
24,543.587,1.3544,1.61537,1.78291,0.72246,0.60247,0.67368,0.39872,1.43191,1.43433,1.93152,0.000778233,0.000778233,0.000778233
25,565.594,1.3517,1.60485,1.77832,0.75613,0.63055,0.70605,0.41519,1.45927,1.48499,1.95991,0.000749939,0.000749939,0.000749939
26,587.577,1.31358,1.54852,1.75057,0.76931,0.64749,0.72518,0.43874,1.40746,1.41652,1.90656,0.000721645,0.000721645,0.000721645
27,609.537,1.32082,1.55316,1.7518,0.82411,0.61299,0.73534,0.44206,1.38484,1.36024,1.85055,0.000693351,0.000693351,0.000693351
28,631.611,1.30782,1.50847,1.74688,0.79444,0.62623,0.6931,0.40625,1.41499,1.43559,1.90633,0.000665057,0.000665057,0.000665057
29,653.596,1.30716,1.49294,1.72961,0.83478,0.64713,0.74918,0.45456,1.41235,1.32836,1.87859,0.000636762,0.000636762,0.000636762
30,675.562,1.28258,1.46268,1.718,0.7741,0.65937,0.72276,0.44062,1.36825,1.53923,1.85707,0.000608468,0.000608468,0.000608468
31,697.531,1.28145,1.45083,1.70954,0.74358,0.68765,0.74791,0.4718,1.36342,1.25001,1.84282,0.000580174,0.000580174,0.000580174
32,719.475,1.27293,1.42155,1.71023,0.82345,0.64863,0.74015,0.46199,1.37556,1.26854,1.86428,0.00055188,0.00055188,0.00055188
33,741.539,1.26688,1.4189,1.69759,0.80943,0.72301,0.77644,0.49896,1.34307,1.22602,1.82585,0.000523586,0.000523586,0.000523586
34,763.521,1.24771,1.38514,1.67339,0.80441,0.69342,0.75878,0.46329,1.36993,1.26284,1.85838,0.000495291,0.000495291,0.000495291
35,785.461,1.24441,1.39625,1.68224,0.79345,0.71682,0.7893,0.50126,1.33641,1.14854,1.8258,0.000466997,0.000466997,0.000466997
36,807.391,1.22128,1.34878,1.66065,0.82728,0.65111,0.76194,0.477,1.35315,1.24787,1.82491,0.000438703,0.000438703,0.000438703
37,829.443,1.24199,1.36927,1.67869,0.79718,0.70402,0.76105,0.48716,1.32583,1.2181,1.81377,0.000410409,0.000410409,0.000410409
38,851.404,1.19818,1.32991,1.64909,0.83153,0.73,0.79701,0.50265,1.31979,1.18699,1.80502,0.000382115,0.000382115,0.000382115
39,873.377,1.19727,1.30781,1.64348,0.82842,0.72158,0.7837,0.49406,1.316,1.17756,1.80318,0.00035382,0.00035382,0.00035382
40,895.309,1.19646,1.25797,1.63892,0.8137,0.74774,0.79608,0.50531,1.32008,1.12202,1.79557,0.000325526,0.000325526,0.000325526
41,947.934,1.11308,1.02882,1.61536,0.78337,0.71755,0.76344,0.48263,1.34639,1.2066,1.84445,0.000297232,0.000297232,0.000297232
42,969.854,1.1099,0.97914,1.599,0.81217,0.75504,0.80571,0.52084,1.29468,1.08864,1.78389,0.000268938,0.000268938,0.000268938
43,991.504,1.08355,0.92326,1.56521,0.81902,0.7611,0.80729,0.50971,1.29621,1.09438,1.77876,0.000240644,0.000240644,0.000240644
44,1013.15,1.06206,0.90846,1.54904,0.82816,0.77205,0.82137,0.52869,1.28897,1.05866,1.77719,0.000212349,0.000212349,0.000212349
45,1034.85,1.04807,0.89841,1.54232,0.85213,0.76481,0.82709,0.52431,1.29172,1.02509,1.77736,0.000184055,0.000184055,0.000184055
46,1056.63,1.04683,0.8561,1.54429,0.82093,0.77876,0.82532,0.52766,1.27328,1.05127,1.75472,0.000155761,0.000155761,0.000155761
47,1078.31,1.03519,0.86659,1.53458,0.88256,0.73743,0.82232,0.53142,1.26717,1.01049,1.7517,0.000127467,0.000127467,0.000127467
48,1099.98,1.01883,0.83459,1.52294,0.85181,0.77663,0.83081,0.54533,1.26722,1.00492,1.75266,9.91726e-05,9.91726e-05,9.91726e-05
49,1121.66,1.00342,0.82132,1.50254,0.86716,0.76694,0.82961,0.53746,1.25989,1.00568,1.75305,7.08784e-05,7.08784e-05,7.08784e-05
50,1143.34,1.00738,0.81337,1.50654,0.89044,0.75758,0.83497,0.54596,1.25829,0.9992,1.7547,4.25842e-05,4.25842e-05,4.25842e-05
