epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5684,3.14242,4.38129,4.01211,0.00123,0.19643,0.00222,0.00067,3.08838,4.09249,4.15126,0.000471522,0.000471522,0.000471522
2,114.696,2.57047,3.77455,3.20572,0.37955,0.19778,0.0393,0.01207,2.3471,6.95962,3.17929,0.000929088,0.000929088,0.000929088
3,154.628,2.28027,3.40336,2.8213,0.06865,0.27819,0.03992,0.01403,2.37059,9.63906,3.1469,0.00136779,0.00136779,0.00136779
4,194.429,2.13555,3.12591,2.62111,0.72579,0.05176,0.04371,0.0142,2.34657,6.6853,2.90802,0.00134412,0.00134412,0.00134412
5,234.203,1.98469,2.92163,2.46002,0.20177,0.23331,0.11479,0.03739,2.16351,3.64887,2.80538,0.00131582,0.00131582,0.00131582
6,273.837,1.89583,2.71848,2.37345,0.2786,0.29048,0.20463,0.09706,1.90841,3.79033,2.49761,0.00128753,0.00128753,0.00128753
7,313.219,1.80082,2.5552,2.26724,0.29967,0.3188,0.26381,0.12254,1.89698,2.53575,2.51481,0.00125923,0.00125923,0.00125923
8,352.626,1.73186,2.40973,2.19782,0.38062,0.36753,0.33795,0.15562,1.79519,2.3209,2.34817,0.00123094,0.00123094,0.00123094
9,392.187,1.70353,2.33315,2.14931,0.49479,0.37059,0.39315,0.19897,1.76804,2.593,2.35996,0.00120265,0.00120265,0.00120265
10,431.53,1.64271,2.21494,2.10429,0.45244,0.43784,0.41081,0.20108,1.76929,2.05741,2.34379,0.00117435,0.00117435,0.00117435
11,470.981,1.5986,2.18164,2.06492,0.53308,0.43587,0.4423,0.23167,1.66592,2.29808,2.23198,0.00114606,0.00114606,0.00114606
12,510.294,1.56563,2.06593,2.0184,0.63052,0.38385,0.44053,0.24091,1.70938,2.06978,2.24864,0.00111776,0.00111776,0.00111776
13,549.84,1.55241,1.99928,1.98895,0.54374,0.49027,0.51196,0.28036,1.59011,2.08809,2.12739,0.00108947,0.00108947,0.00108947
14,589.375,1.52691,1.98614,1.99296,0.67018,0.47544,0.53565,0.2848,1.61595,1.8872,2.18505,0.00106118,0.00106118,0.00106118
15,628.86,1.49164,1.89551,1.93387,0.53228,0.56049,0.57187,0.31146,1.5389,1.81178,2.09758,0.00103288,0.00103288,0.00103288
16,668.207,1.4621,1.84155,1.91037,0.58078,0.4843,0.54738,0.31287,1.52369,1.763,2.05847,0.00100459,0.00100459,0.00100459
17,707.736,1.43434,1.78405,1.88007,0.56803,0.5358,0.56113,0.32117,1.53072,1.61261,2.07361,0.000976293,0.000976293,0.000976293
18,747.332,1.43593,1.80272,1.87709,0.68565,0.53481,0.60633,0.35517,1.47535,1.55162,2.01278,0.000947999,0.000947999,0.000947999
19,786.846,1.40237,1.71274,1.84359,0.61871,0.48036,0.54065,0.31365,1.50663,1.72349,2.02229,0.000919704,0.000919704,0.000919704
20,826.104,1.40001,1.69015,1.84394,0.68345,0.52207,0.58205,0.33828,1.50576,1.73959,2.0036,0.00089141,0.00089141,0.00089141
21,865.363,1.36433,1.65746,1.81785,0.55201,0.58825,0.58703,0.33148,1.47666,1.57454,2.01155,0.000863116,0.000863116,0.000863116
22,904.592,1.34869,1.61733,1.79336,0.68541,0.63502,0.67215,0.40217,1.47143,1.49739,1.96782,0.000834822,0.000834822,0.000834822
23,943.886,1.34522,1.58069,1.78088,0.76999,0.62759,0.68669,0.40584,1.47615,1.48208,1.9771,0.000806528,0.000806528,0.000806528
24,983.13,1.33678,1.55241,1.77677,0.7288,0.6713,0.69493,0.41429,1.40947,1.36131,1.92189,0.000778233,0.000778233,0.000778233
25,1022.45,1.33973,1.55966,1.77468,0.76239,0.63173,0.7197,0.43441,1.40683,1.4166,1.93254,0.000749939,0.000749939,0.000749939
26,1061.76,1.2998,1.50009,1.7462,0.71955,0.6765,0.73096,0.44287,1.38493,1.34982,1.88492,0.000721645,0.000721645,0.000721645
27,1101.14,1.31192,1.4891,1.73967,0.73248,0.66021,0.71952,0.4286,1.36553,1.3424,1.89241,0.000693351,0.000693351,0.000693351
28,1140.42,1.28402,1.45751,1.73327,0.77878,0.61891,0.71354,0.42876,1.4028,1.4485,1.91616,0.000665057,0.000665057,0.000665057
29,1179.67,1.28724,1.43774,1.72302,0.73601,0.67048,0.71936,0.43256,1.41524,1.33805,1.91681,0.000636762,0.000636762,0.000636762
30,1218.86,1.2699,1.40845,1.7127,0.72635,0.6501,0.72917,0.45657,1.32682,1.27986,1.83428,0.000608468,0.000608468,0.000608468
31,1258.15,1.25352,1.37937,1.69793,0.76993,0.71153,0.76666,0.47372,1.33837,1.22754,1.85143,0.000580174,0.000580174,0.000580174
32,1297.65,1.25855,1.34879,1.70377,0.86501,0.66359,0.76628,0.46867,1.38232,1.19486,1.90108,0.00055188,0.00055188,0.00055188
33,1336.95,1.25002,1.3645,1.69291,0.80508,0.68151,0.74869,0.4734,1.33069,1.29669,1.84433,0.000523586,0.000523586,0.000523586
34,1385.07,1.2231,1.32626,1.66164,0.86887,0.6878,0.77267,0.46958,1.33197,1.13146,1.85154,0.000495291,0.000495291,0.000495291
35,1424.32,1.2231,1.3262,1.67112,0.80526,0.72416,0.79407,0.49397,1.3404,1.14405,1.84921,0.000466997,0.000466997,0.000466997
36,1463.6,1.19641,1.27113,1.64679,0.84542,0.70979,0.77568,0.47875,1.3543,1.20458,1.84859,0.000438703,0.000438703,0.000438703
37,1502.85,1.21382,1.30918,1.66243,0.7936,0.73808,0.79639,0.49571,1.29806,1.16209,1.81035,0.000410409,0.000410409,0.000410409
38,1542.11,1.17932,1.2656,1.63978,0.84647,0.73406,0.80461,0.50735,1.27654,1.1024,1.78383,0.000382115,0.000382115,0.000382115
39,1581.38,1.17696,1.22777,1.62861,0.88191,0.71452,0.80103,0.50024,1.28462,1.08388,1.79009,0.00035382,0.00035382,0.00035382
40,1620.58,1.15866,1.18336,1.61263,0.79134,0.79528,0.8212,0.52107,1.27046,1.04037,1.78388,0.000325526,0.000325526,0.000325526
41,1692.76,1.08033,0.95048,1.58807,0.8392,0.70111,0.78033,0.48504,1.29812,1.21709,1.80188,0.000297232,0.000297232,0.000297232
42,1732.33,1.08405,0.92298,1.57839,0.83523,0.72954,0.806,0.51573,1.24753,1.10325,1.7569,0.000268938,0.000268938,0.000268938
